time,x offset,distance
11.542,84.582568807339442,12.965517077536102
11.655,84.469107551487411,12.950659173141387
11.77,82.106235565819873,13.010399098689136
11.877,78.537037037037038,13.025463531928322
11.997,76.971830985915489,13.116960869384469
12.114,77.060606060606062,13.070972336815467
12.222,75.011792452830178,13.147890590553217
12.344,71.529691211401428,13.194697640859776
12.447,66.645783132530113,13.289829339836695
12.562,58.595061728395052,13.453053736755743
12.684,53.761904761904759,13.553919513553813
12.794,50.0,13.605209638175246
12.902,49.406649616368298,13.692000942180876
13.017,50.406649616368298,13.692000942180876
13.141,49.958868894601551,13.727184965856118
13.258,47.102564102564116,13.709559133195159
13.359,42.544502617801044,13.852496846859095
13.479,40.309090909090912,13.798373482873791
13.583,39.425196850393689,13.870679828258194
13.7,40.510471204188491,13.852496846859095
13.817,40.452631578947376,13.888934516709666
13.916,38.827225130890042,13.852496846859095
14.035,37.23577235772359,14.094607132294664
14.151,36.65217391304347,14.113760462221226
14.262,34.636842105263156,13.888934516709666
14.372,31.732240437158481,14.152302280756532
14.488,30.639344262295083,14.152302280756532
14.603,31.0,14.132992000436591
14.708,29.973614775725594,13.90726138487654
14.803,27.603825136612016,14.152302280756532
14.914,22.825484764542949,14.250053859103437
15.028,20.604904632152596,14.132992000436591
15.148,20.581267217630852,14.210710989608907
15.269,22.36088154269973,14.210710989608907
15.378,22.418732782369148,14.210710989608907
15.495,20.418732782369148,14.210710989608907
15.606,18.664819944598349,14.250053859103437
15.719,17.903743315508024,13.999995273736982
15.834,17.808108108108115,14.075531481894071
15.949,17.837016574585647,14.230341679761613
16.063,17.824468085106389,13.962679860216396
16.175,17.839779005524861,14.230341679761613
16.287,17.73684210526315,14.250053859103437
16.401,17.527559055118104,13.870679828258194
16.515,17.358695652173907,14.113760462221226
16.629,17.175824175824175,14.19116122861216
16.743,17.00514138817482,13.727184965856118
16.861,16.909793814432987,13.744878875693116
16.977,16.747395833333343,13.816344136125686
17.095,16.76315789473685,13.888934516709666
17.211,16.691906005221938,13.834385104171433
17.335,16.708121827411162,13.639727921823086
17.455,16.701711491442552,13.387046135357393
17.573,16.718204488778042,13.520046231913316
17.683,16.791773778920316,13.727184965856118
17.796,16.72279792746113,13.780472688739888
17.915,16.712082262210799,13.727184965856118
18.036,16.740932642487053,13.780472688739888
18.151,16.7284595300261,13.834385104171433
18.274,16.695544554455438,13.469708574815177
18.395,16.644155844155847,13.798373482873791
18.52,16.671052631578959,13.888934516709666
18.642,16.648293963254588,13.870679828258194
18.761,16.535532994923869,13.639727921823086
18.87,16.55949367088607,13.622436019257618
18.995,16.689473684210526,13.888934516709666
19.123,16.593908629441614,13.639727921823086
19.239,16.573298429319379,13.852496846859095
19.351,16.435443037974693,13.622436019257618
19.473,16.390123456790121,13.453053736755743
19.598,16.412371134020617,13.744878875693116
19.71,16.289215686274503,13.403457023191621
19.829,16.323155216284988,13.657085762385458
19.953,16.204819277108442,13.289829339836695
20.079,16.268354430379759,13.622436019257618
20.191,16.132211538461547,13.273831289236503
20.303,16.175000000000011,13.536951126130973
20.421,16.152019002375283,13.194697640859776
20.522,16.183333333333337,13.210411290493559
20.642,16.237623762376245,13.469708574815177
20.754,16.169999999999987,13.536951126130973
20.873,16.159203980099505,13.503204435820416
20.994,16.117505995203828,13.257890802029003
21.114,16.183879093198982,13.588048365736435
21.234,16.108695652173907,13.305885301203215
21.349,16.053921568627459,13.403457023191621
21.459,16.103797468354429,13.622436019257618
21.569,16.103797468354429,13.622436019257618
21.691,16.158163265306115,13.674509961174934
21.806,16.17766497461929,13.639727921823086
21.927,16.193548387096769,13.486425346205092
22.041,16.307106598984774,13.639727921823086
22.162,16.334939759036132,13.289829339836695
22.285,16.436724565756833,13.486425346205092
22.404,16.391408114558459,13.226181142817767
22.525,16.475728155339795,13.338172360471814
22.636,16.549261083743829,13.436460450451902
22.748,16.685365853658539,13.370695305452163
22.869,16.709677419354847,12.995386744448064
22.979,16.68925233644859,13.086248129609992
23.095,16.73333333333332,12.980426169747762
23.209,16.636792452830178,13.147890590553217
23.324,16.745920745920756,13.070972336815467
23.444,16.663573085846878,13.040580346053266
23.555,16.670702179176743,13.321999523651682
23.677,16.685314685314694,13.070972336815467
23.797,16.610705596107067,13.354404167959979
23.911,16.510588235294108,13.132398447806393
24.036,16.577395577395578,13.419928337612044
24.164,16.510588235294108,13.132398447806393
24.281,16.686274509803923,13.403457023191621
24.376,16.689411764705881,13.132398447806393
24.493,16.5,13.17903986078559
24.6,16.402912621359235,13.338172360471814
24.717,16.40821256038646,13.305885301203215
24.832,16.261904761904759,13.210411290493559
24.956,16.140909090909105,12.906389675336769
25.075,16.135514018691595,13.086248129609992
25.194,16.051685393258424,12.8336041052331
25.312,16.027334851936217,12.921095760871681
25.423000000000002,15.964205816554824,12.804832285280238
25.534,16.014018691588774,13.086248129609992
25.646,15.937209302325584,13.055749845407362
25.765,15.911832946635741,13.040580346053266
25.879,15.878220140515225,13.101577535657301
26.007,15.800453514739218,12.891733622251531
26.114,15.842696629213492,12.8336041052331
26.238,15.799086757990864,12.935852164247889
26.352,15.859410430839006,12.891733622251531
26.467,15.878220140515225,13.101577535657301
26.576,15.841013824884783,12.995386744448064
26.687,15.775510204081627,12.891733622251531
26.801,15.856807511737088,13.116960869384469
26.955,15.75167785234899,12.804832285280238
27.159,15.761574074074076,13.025463531928322
27.309,15.626966292134824,12.8336041052331
27.515,15.716483516483521,12.691647709638895
27.618,15.758542141230066,12.921095760871681
27.765,15.687640449438192,12.8336041052331
27.88,15.614718614718612,12.595031661450713
27.99,15.599999999999994,12.554293972813834
28.067,15.622317596566518,12.540802210933371
28.182,15.594713656387654,12.705632048943269
28.266,15.622317596566518,12.540802210933371
28.393,15.61904761904762,12.595031661450713
28.515,15.697038724373584,12.921095760871681
28.618,15.584269662921344,12.8336041052331
28.725,15.707762557077615,12.935852164247889
28.835,15.5829694323144,12.649969749610225
28.936,15.683371298405461,12.921095760871681
29.045,15.780045351473916,12.891733622251531
29.151,15.841648590021691,12.608699148454766
29.253,15.865800865800878,12.595031661450713
29.371,15.977827050997774,12.747863677571175
29.474,15.922912205567457,12.527353792431486
29.582,16.114790286975705,12.719662652551026
29.703,16.126914660831517,12.663816810829108
29.808,16.109936575052842,12.447560640522971
29.917,16.124735729386884,12.447560640522971
30.028,16.216386554621835,12.408230820083936
30.141,16.06881720430107,12.554293972813834
30.251,16.139240506329116,12.434409235380201
30.365,16.16382978723405,12.487266289401084
30.49,16.149473684210534,12.421299367987055
30.611,16.063424947145876,12.447560640522971
30.726,16.157112526539265,12.473988945198972
30.843,16.140350877192986,12.677709380873983
30.955,16.221748400852874,12.500586060722039
31.079,16.296610169491515,12.460753803292517
