time,proc1,proc2,proc3
0.0,1.0,2.5,1.15
1447803311.494938,1.0,2.5,1.032608695652174
1447803311.516017,1.0,2.5,1.121578947368421
1447803311.536974,1.0,2.5,1.0524401689347724
1447803311.557919,1.0,2.5,1.1051555010589678
1447803311.578974,1.0,2.5,1.0643650365379476
1447803311.599959,1.0,2.5,1.0955745623958333
1447803311.620963,1.0,2.5,1.071486762189745
1447803311.64196,1.0,2.5,1.089954380920875
1447803311.662957,1.0,2.5,1.075722631840438
1447803311.683955,1.0,2.5,1.086646895176132
1447803311.704959,1.0,2.5,1.078235928336335
1447803311.726026,1.0,2.5,1.084696726706794
1447803311.746992,1.0,2.5,1.0797250077747127
1447803311.767977,1.0,2.5,1.0835455727332632
1447803311.788964,1.0,2.5,1.0806065039144905
1447803311.809973,1.0,2.5,1.0828656145782536
1447803311.830967,1.0,2.5,1.0811280623224195
1447803311.851987,1.0,2.5,1.0824638230800057
1447803311.872967,1.0,2.5,1.0814365624147795
1447803311.893978,1.0,2.5,1.0822263471380669
1447803311.914967,1.0,2.5,1.081619006855671
1447803311.935973,1.0,2.5,1.082085969547033
1447803311.956984,1.0,2.5,1.0817268916967335
1447803311.977973,1.0,2.5,1.082002982368602
1447803311.998985,1.0,2.5,1.0817906832657882
1447803312.02001,1.0,2.5,1.0819539204044673
1447803312.041019,1.0,2.5,1.0818284014013764
1447803312.066953,1.0,2.5,1.0819249141861687
1447803312.087956,1.0,2.5,1.0818507025757755
1447803312.118017,1.0,2.5,1.0819077649597975
1447803312.138995,1.0,2.5,1.0818638881692868
1447803312.159996,1.0,2.5,1.0818976257937272
1447803312.180993,1.0,2.5,1.0818716841066371
1447803312.202002,1.0,2.5,1.081891631162508
1447803312.222998,1.0,2.5,1.0818762934074433
1447803312.244025,1.0,2.5,1.0818880869136973
1447803312.265008,1.0,2.5,1.081879018621446
1447803312.286016,1.0,2.5,1.0818859914177832
1447803312.306987,1.0,2.5,1.0818806298809487
1447803312.328027,1.0,2.5,1.0818847524786879
1447803312.349031,1.0,2.5,1.081881582523485
1447803312.369951,1.0,2.5,1.0818840199689443
1447803312.390941,1.0,2.5,1.081882145764418
1447803312.412005,1.0,2.5,1.08188358688006
1447803312.433034,1.0,2.5,1.0818824787752104
1447803312.454024,1.0,2.5,1.0818833308206286
1447803312.475025,-1.0,-2.5,0.5818826756646054
1447803312.496003,-1.0,-2.5,1.2967035497698096
1447803312.517024,-1.0,-2.5,0.44406766115490903
1447803312.538207,-1.0,-2.5,1.776718175467506
1447803312.559036,-1.0,-2.5,0.2565519182653624
1447803312.580016,-1.0,-2.5,3.2580618616505226
1447803312.60101,-1.0,-2.5,0.02623784882465774
1447803312.622019,-1.0,-2.5,34.051592558693315
1447803312.643022,-1.0,-2.5,-0.22356951812316245
1447803312.664036,-1.0,-2.5,-4.275593504675347
1447803312.685024,-1.0,-2.5,-0.4604970921617907
1447803312.70601,-1.0,-2.5,-2.204409735303594
1447803312.727014,-1.0,-2.5,-0.6582725573138747
1447803312.748014,-1.0,-2.5,-1.6172148261390547
1447803312.769038,-1.0,-2.5,-0.8065123355619139
1447803312.79001,-1.0,-2.5,-1.365915975882689
1447803312.811027,-1.0,-2.5,-0.9088985090524309
1447803312.832035,-1.0,-2.5,-1.2402095679948821
1447803312.853042,-1.0,-2.5,-0.9756838063707907
1447803312.874031,-1.0,-2.5,-1.1724299861526775
1447803312.895049,-1.0,-2.5,-1.0176364564449132
1447803312.918739,-1.0,-2.5,-1.134402277748703
1447803312.93909,-1.0,-2.5,-1.0433693519957576
1447803312.960057,-1.0,-2.5,-1.1125900293874642
1447803312.981036,-1.0,-2.5,-1.058923301690466
1447803313.002076,-1.0,-2.5,-1.0999199125784078
1447803313.023075,-1.0,-2.5,-1.0682413916757265
1447803313.053702,-1.0,-2.5,-1.0925062041344327
1447803313.074108,-1.0,-2.5,-1.0737939488069537
1447803313.095014,-1.0,-2.5,-1.0881496291722927
1447803313.116117,-1.0,-2.5,-1.0770921350077471
1447803313.137067,-1.0,-2.5,-1.0855831137821155
1447803313.158029,-1.0,-2.5,-1.0790475308375482
1447803313.179107,-1.0,-2.5,-1.0840689119611135
1447803313.199251,-1.0,-2.5,-1.0802055248239457
1447803313.220062,-1.0,-2.5,-1.0831747795371478
1447803313.241084,-1.0,-2.5,-1.0808908377506534
1447803313.262078,-1.0,-2.5,-1.082646525039393
1447803313.283062,-1.0,-2.5,-1.0812962533798856
1447803313.304063,-1.0,-2.5,-1.0823343368543128
1447803313.325069,-1.0,-2.5,-1.081536032216951
1447803313.346143,-1.0,-2.5,-1.0821498065627686
1447803313.367053,-1.0,-2.5,-1.081677827359845
1447803313.388085,-1.0,-2.5,-1.0820407215859424
1447803313.409063,-1.0,-2.5,-1.0817616722232726
1447803313.430056,-1.0,-2.5,-1.0819762320200252
1447803313.451075,-1.0,-2.5,-1.081811248126699
1447803313.472088,-1.0,-2.5,-1.0819381052456891
1447803313.493083,1.0,2.5,-0.5818405605980814
1447803313.514073,1.0,2.5,-1.2968155040186238
1447803313.535125,1.0,2.5,-0.4440077422046883
1447803313.556125,1.0,2.5,-1.7769916815664413
1447803313.577085,1.0,2.5,-0.2564739522059205
1447803313.598079,1.0,2.5,-3.2591282847990684
1447803313.619099,1.0,2.5,-0.0261474607175479
1447803313.640072,1.0,2.5,-34.1701683567689
1447803313.661089,1.0,2.5,0.22366123600553708
1447803313.682109,1.0,2.5,4.273942709400564
1447803313.703083,1.0,2.5,0.4605783959201054
1447803313.724084,1.0,2.5,2.204064732458965
1447803313.74508,1.0,2.5,0.6583364643269415
1447803313.766087,1.0,2.5,1.617082105834934
1447803313.787086,1.0,2.5,0.8065580107234634
1447803313.808093,1.0,2.5,1.3658527818634165
1447803313.829086,1.0,2.5,0.9089289943621456
1447803313.850086,1.0,2.5,1.2401763565498187
1447803313.871096,1.0,2.5,0.9757032399035632
1447803313.892106,1.0,2.5,1.172411613687943
1447803313.913137,1.0,2.5,1.017648485815452
1447803313.934119,1.0,2.5,1.1343918234485664
1447803313.955094,1.0,2.5,1.0433766635094284
1447803313.976057,1.0,2.5,1.1125839847450902
1447803313.997139,1.0,2.5,1.0589276965515584
1447803314.018134,1.0,2.5,1.0999163851610332
1447803314.039111,1.0,2.5,1.0682440157651034
1447803314.060118,1.0,2.5,1.0925041345589914
1447803314.081231,1.0,2.5,1.0737955093536564
1447803314.104109,1.0,2.5,1.0881484110896793
1447803314.125106,1.0,2.5,1.0770930608617384
1447803314.146181,1.0,2.5,1.0855823955266657
1447803314.167131,1.0,2.5,1.0790480793614647
1447803314.188126,1.0,2.5,1.0840684879700468
1447803314.209114,1.0,2.5,1.080205849526425
1447803314.230104,1.0,2.5,1.0831745290905161
1447803314.251137,1.0,2.5,1.0808910298654104
1447803314.272153,1.0,2.5,1.0826463770469679
1447803314.293124,1.0,2.5,1.0812963670139875
1447803314.314175,1.0,2.5,1.082334249383784
1447803314.335155,1.0,2.5,1.081536099418831
1447803314.356173,1.0,2.5,1.082149754856652
1447803314.377126,1.0,2.5,1.0816778670981813
1447803314.398125,1.0,2.5,1.0820406910186962
1447803314.419136,1.0,2.5,1.0817616957202298
1447803314.440125,1.0,2.5,1.0819762139486608
1447803314.461142,1.0,2.5,1.0818112620197624
1447803314.482138,-1.0,-2.5,0.5819380945615992
1447803314.503132,-1.0,-2.5,1.296556254712989
1447803314.524128,-1.0,-2.5,0.4441465105956608
1447803314.545162,-1.0,-2.5,1.7763583716845548
1447803314.566148,-1.0,-2.5,0.25665452103930625
1447803314.587138,-1.0,-2.5,3.256659443813836
1447803314.608148,-1.0,-2.5,0.026356805348372703
1447803314.629139,-1.0,-2.5,33.896778720114
1447803314.650141,-1.0,-2.5,-0.2234488044592288
1447803314.671149,-1.0,-2.5,-4.277768249546473
1447803314.692149,-1.0,-2.5,-0.4603900790080008
1447803314.713148,-1.0,-2.5,-2.2048640186583155
1447803314.734148,-1.0,-2.5,-0.6581884381004413
1447803314.755674,-1.0,-2.5,-1.6173895618668674
1447803314.776152,-1.0,-2.5,-0.8064522123916624
1447803314.797151,-1.0,-2.5,-1.3659991704045384
1447803314.818151,-1.0,-2.5,-0.9088583796383027
1447803314.839148,-1.0,-2.5,-1.2402532893608484
1447803314.86015,-1.0,-2.5,-0.9756582245904024
1447803314.881151,-1.0,-2.5,-1.1724541722874677
1447803314.902158,-1.0,-2.5,-1.0176206211489636
1447803314.92315,-1.0,-2.5,-1.1344160400207282
1447803314.94416,-1.0,-2.5,-1.043359727162845
1447803314.965278,-1.0,-2.5,-1.1125979866477347
1447803314.986167,-1.0,-2.5,-1.0589175163004798
1447803315.007161,-1.0,-2.5,-1.0999245561111437
1447803315.028232,-1.0,-2.5,-1.068237937320001
1447803315.049178,-1.0,-2.5,-1.0925089285425709
