time,proc1,proc2,proc3
0.0,1.0,2.5,1.3
1447803303.405514,1.0,2.5,1.1153846153846154
1447803303.426453,1.0,2.5,1.217241379310345
1447803303.44748,1.0,2.5,1.1572237960339944
1447803303.46847,1.0,2.5,1.1913096695226437
1447803303.489467,1.0,2.5,1.1715298469125657
1447803303.510514,1.0,2.5,1.182867792150844
1447803303.531492,1.0,2.5,1.1763224134671348
1447803303.552468,1.0,2.5,1.1800856558042205
1447803303.573493,1.0,2.5,1.1779168919351073
1447803303.594464,1.0,2.5,1.1791650628982346
1447803303.615443,1.0,2.5,1.178446152427298
1447803303.636568,1.0,2.5,1.1788600381546535
1447803303.657485,1.0,2.5,1.1786216973240455
1447803303.678465,1.0,2.5,1.178758928175451
1447803303.699471,1.0,2.5,1.1786799072124823
1447803303.720531,1.0,2.5,1.1787254072159075
1447803303.741531,1.0,2.5,1.1786992077226546
1447803303.762455,1.0,2.5,1.1787142934843122
1447803303.783456,1.0,2.5,1.1787056069670434
1447803303.804476,1.0,2.5,1.1787106087146728
1447803303.825427,1.0,2.5,1.1787077286700265
1447803303.846428,1.0,2.5,1.1787093870188374
1447803303.867475,1.0,2.5,1.1787084321296024
1447803303.888444,1.0,2.5,1.1787089819613996
1447803303.909531,1.0,2.5,1.1787086653643557
1447803303.930497,1.0,2.5,1.1787088476631404
1447803303.951524,1.0,2.5,1.1787087426942175
1447803303.972514,1.0,2.5,1.178708803136058
1447803304.000747,1.0,2.5,1.1787087683332218
1447803304.021504,1.0,2.5,1.1787087883729388
1447803304.042508,1.0,2.5,1.1787087768339293
1447803304.063445,1.0,2.5,1.178708783478172
1447803304.084564,1.0,2.5,1.1787087796523703
1447803304.105495,1.0,2.5,1.1787087818552937
1447803304.126606,1.0,2.5,1.178708780586835
1447803304.147466,1.0,2.5,1.1787087813172223
1447803304.168548,1.0,2.5,1.17870878089666
1447803304.189443,1.0,2.5,1.1787087811388228
1447803304.210544,1.0,2.5,1.178708780999384
1447803304.23155,1.0,2.5,1.1787087810796737
1447803304.25247,1.0,2.5,1.1787087810334422
1447803304.273502,1.0,2.5,1.1787087810600627
1447803304.294495,1.0,2.5,1.1787087810447345
1447803304.315553,1.0,2.5,1.1787087810535606
1447803304.336513,1.0,2.5,1.1787087810484784
1447803304.357604,1.0,2.5,1.1787087810514048
1447803304.378524,-1.0,-2.5,0.1787087810497198
1447803304.399614,-1.0,-2.5,3.9765567494829845
1447803304.420511,-1.0,-2.5,-0.2988209271490938
1447803304.441544,-1.0,-2.5,-3.1771886682516306
1447803304.462582,-1.0,-2.5,-0.7517949305290171
1447803304.483591,-1.0,-2.5,-1.5641199714356444
1447803304.50463,-1.0,-2.5,-1.011469717547121
1447803304.525592,-1.0,-2.5,-1.2909282760734067
1447803304.546583,-1.0,-2.5,-1.1197090998992956
1447803304.567696,-1.0,-2.5,-1.2144712855079507
1447803304.588521,-1.0,-2.5,-1.1587228611711484
1447803304.60953,-1.0,-2.5,-1.1904153070661099
1447803304.630511,-1.0,-2.5,-1.1720343692250355
1447803304.651621,-1.0,-2.5,-1.1825738399881316
1447803304.672539,-1.0,-2.5,-1.1764905268055217
1447803304.693588,-1.0,-2.5,-1.1799884757017198
1447803304.714569,-1.0,-2.5,-1.1779727230168526
1447803304.73556,-1.0,-2.5,-1.1791328732563147
1447803304.757106,-1.0,-2.5,-1.1784646736128266
1447803304.777558,-1.0,-2.5,-1.1788493689398725
1447803304.798312,-1.0,-2.5,-1.178627839211919
1447803304.82132,-1.0,-2.5,-1.1787553911291577
1447803304.841594,-1.0,-2.5,-1.1786819437013656
1447803304.86258,-1.0,-2.5,-1.1787242345359032
1447803304.883501,-1.0,-2.5,-1.178699882941647
1447803304.904658,-1.0,-2.5,-1.178713904682389
1447803304.925599,-1.0,-2.5,-1.178705830839897
1447803304.94659,-1.0,-2.5,-1.1787104798064443
1447803304.967602,-1.0,-2.5,-1.1787078028960665
1447803304.988595,-1.0,-2.5,-1.1787093442788898
1447803305.016391,-1.0,-2.5,-1.1787084567395396
1447803305.037559,-1.0,-2.5,-1.1787089677908171
1447803305.058607,-1.0,-2.5,-1.1787086735238739
1447803305.079545,-1.0,-2.5,-1.1787088429648318
1447803305.100596,-1.0,-2.5,-1.1787087453995362
1447803305.121595,-1.0,-2.5,-1.1787088015783163
1447803305.142601,-1.0,-2.5,-1.1787087692301805
1447803305.16362,-1.0,-2.5,-1.1787087878564637
1447803305.184542,-1.0,-2.5,-1.1787087771313192
1447803305.20506,-1.0,-2.5,-1.1787087833069325
1447803305.225728,-1.0,-2.5,-1.1787087797509712
1447803305.246597,-1.0,-2.5,-1.1787087817985185
1447803305.267647,-1.0,-2.5,-1.1787087806195264
1447803305.288585,-1.0,-2.5,-1.1787087812983983
1447803305.309599,-1.0,-2.5,-1.1787087809074994
1447803305.330607,-1.0,-2.5,-1.1787087811325816
1447803305.351589,-1.0,-2.5,-1.1787087810029777
1447803305.372588,-1.0,-2.5,-1.1787087810776042
1447803305.393572,1.0,2.5,-0.178708781034634
1447803305.414602,1.0,2.5,-3.976556749860875
1447803305.435567,1.0,2.5,0.2988209271682118
1447803305.456577,1.0,2.5,3.1771886680803494
1447803305.477645,1.0,2.5,0.7517949305425914
1447803305.498606,1.0,2.5,1.5641199714164309
1447803305.51961,1.0,2.5,1.0114697175534038
1447803305.540639,1.0,2.5,1.290928276068494
1447803305.561588,1.0,2.5,1.119709099901654
1447803305.582578,1.0,2.5,1.214471285506446
1447803305.603567,1.0,2.5,1.1587228611719644
1447803305.624637,1.0,2.5,1.1904153070656238
1447803305.645636,1.0,2.5,1.17203436922531
1447803305.666613,1.0,2.5,1.1825738399879717
1447803305.687583,1.0,2.5,1.1764905268056132
1447803305.708625,1.0,2.5,1.179988475701667
1447803305.729623,1.0,2.5,1.1779727230168828
1447803305.750617,1.0,2.5,1.1791328732562971
1447803305.771611,1.0,2.5,1.1784646736128368
1447803305.792587,1.0,2.5,1.1788493689398665
1447803305.813582,1.0,2.5,1.1786278392119225
1447803305.834589,1.0,2.5,1.1787553911291557
1447803305.855615,1.0,2.5,1.1786819437013665
1447803305.876638,1.0,2.5,1.1787242345359028
1447803305.897593,1.0,2.5,1.1786998829416473
1447803305.918572,1.0,2.5,1.178713904682389
1447803305.939621,1.0,2.5,1.178705830839897
1447803305.960606,1.0,2.5,1.1787104798064443
1447803305.981654,1.0,2.5,1.1787078028960665
1447803306.002773,1.0,2.5,1.1787093442788898
1447803306.024371,1.0,2.5,1.1787084567395396
1447803306.045633,1.0,2.5,1.1787089677908171
1447803306.066571,1.0,2.5,1.1787086735238739
1447803306.087639,1.0,2.5,1.1787088429648318
1447803306.108639,1.0,2.5,1.1787087453995362
1447803306.129703,1.0,2.5,1.1787088015783163
1447803306.150638,1.0,2.5,1.1787087692301805
1447803306.171642,1.0,2.5,1.1787087878564637
1447803306.192628,1.0,2.5,1.1787087771313192
1447803306.213686,1.0,2.5,1.1787087833069325
1447803306.234636,1.0,2.5,1.1787087797509712
1447803306.255625,1.0,2.5,1.1787087817985185
1447803306.276634,1.0,2.5,1.1787087806195264
1447803306.297654,1.0,2.5,1.1787087812983983
1447803306.318646,1.0,2.5,1.1787087809074994
1447803306.339665,1.0,2.5,1.1787087811325816
1447803306.360673,1.0,2.5,1.1787087810029777
1447803306.381601,-1.0,-2.5,0.1787087810776044
1447803306.402596,-1.0,-2.5,3.9765567487844904
1447803306.423603,-1.0,-2.5,-0.29882092711375613
1447803306.445647,-1.0,-2.5,-3.177188668568227
1447803306.46665,-1.0,-2.5,-0.7517949305039267
1447803306.487645,-1.0,-2.5,-1.5641199714711584
1447803306.508646,-1.0,-2.5,-1.0114697175355079
1447803306.529643,-1.0,-2.5,-1.2909282760824876
1447803306.550701,-1.0,-2.5,-1.1197090998949362
1447803306.571677,-1.0,-2.5,-1.2144712855107322
1447803306.592661,-1.0,-2.5,-1.1587228611696396
1447803306.613661,-1.0,-2.5,-1.1904153070670092
1447803306.634653,-1.0,-2.5,-1.1720343692245279
1447803306.655664,-1.0,-2.5,-1.1825738399884271
1447803306.676654,-1.0,-2.5,-1.176490526805353
1447803306.697655,-1.0,-2.5,-1.1799884757018173
1447803306.71867,-1.0,-2.5,-1.1779727230167965
1447803306.739663,-1.0,-2.5,-1.179132873256347
1447803306.760656,-1.0,-2.5,-1.178464673612808
1447803306.781672,-1.0,-2.5,-1.1788493689398831
1447803306.802655,-1.0,-2.5,-1.178627839211913
1447803306.82363,-1.0,-2.5,-1.178755391129161
1447803306.844663,-1.0,-2.5,-1.1786819437013636
1447803306.865655,-1.0,-2.5,-1.1787242345359044
1447803306.886669,-1.0,-2.5,-1.1786998829416464
1447803306.907697,-1.0,-2.5,-1.1787139046823891
1447803306.928693,-1.0,-2.5,-1.1787058308398968
1447803306.949703,-1.0,-2.5,-1.1787104798064445
1447803306.970686,-1.0,-2.5,-1.1787078028960662
1447803306.991686,-1.0,-2.5,-1.1787093442788898
1447803307.012648,-1.0,-2.5,-1.1787084567395396
1447803307.033432,-1.0,-2.5,-1.1787089677908171
1447803307.054416,-1.0,-2.5,-1.1787086735238739
1447803307.074691,-1.0,-2.5,-1.1787088429648318
1447803307.095685,-1.0,-2.5,-1.1787087453995362
1447803307.116696,-1.0,-2.5,-1.1787088015783163
1447803307.137685,-1.0,-2.5,-1.1787087692301805
1447803307.158692,-1.0,-2.5,-1.1787087878564637
1447803307.17968,-1.0,-2.5,-1.1787087771313192
1447803307.200672,-1.0,-2.5,-1.1787087833069325
1447803307.221737,-1.0,-2.5,-1.1787087797509712
1447803307.2427,-1.0,-2.5,-1.1787087817985185
1447803307.263716,-1.0,-2.5,-1.1787087806195264
1447803307.284702,-1.0,-2.5,-1.1787087812983983
1447803307.305932,-1.0,-2.5,-1.1787087809074994
1447803307.326752,-1.0,-2.5,-1.1787087811325816
1447803307.347755,-1.0,-2.5,-1.1787087810029777
1447803307.368699,-1.0,-2.5,-1.1787087810776042
1447803307.389689,1.0,2.5,-0.178708781034634
